,id_puesto,puesto,departamento,tipo_puesto
0,10-23200,Ingeniero de Materiales,MATERIALES,Operativo
1,10-24111,Operador de Producción,MATERIALES,Operativo
2,10-25120,Auxiliar de compras,MATERIALES,Administrativo
3,10-25130,Comprador,MATERIALES,Administrativo
4,10-32050,Supervisor General de Materiales,MATERIALES,Mandos Medios
5,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios
6,10-32110,Almacenista,MATERIALES,Administrativo
7,10-32150,Controlador de componentes especiales,MATERIALES,Mandos Medios
8,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios
9,15-22211,Mecánico,PRODUCCION,Operativo
10,15-23810,Técnico de soporte,PRODUCCION,Operativo
11,15-24000,Gerente de Producción,PRODUCCION,Gerencia
12,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios
13,15-24110,Jefa de Línea,PRODUCCION,Mandos Medios
14,15-24111,Operador de Producción,PRODUCCION,Operativo
15,15-27000,Supervisor General de Producción,PRODUCCION,Mandos Medios
16,15-31410,Clerk de Tráfico,PRODUCCION,Administrativo
17,20-26100,Clerk de Copiado,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
18,20-31100,Analista de Sistemas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
19,20-31200,Supervisor de captura,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios
20,20-31210,Capturista,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
21,20-31300,Supervisor de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios
22,20-31310,Asistente de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
23,20-31320,Clerk de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
24,20-31400,Supervisor de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios
25,20-31410,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo
26,20-31500,Supervisor  de desarrollo de sistemas,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios
27,25-25130,Planeador de Compras,MATERIALES,Administrativo
28,25-32200,Gerente de Planeación,MATERIALES,Gerencia
29,30-13000,Gerente de Auditoria Metrologia y Control de Doc.,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Gerencia
30,30-13100,Controlador de Documentos,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios
31,30-13300,Ingeniero de Calibracion y Metrologia,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Operativo
32,30-13310,Técnico de calibración y metrología,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Operativo
33,30-13320,Ingeniero de Prueba Electrica,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Operativo
34,30-13330,Asistente de Calibración,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Administrativo
35,30-13400,Auditor interno de calidad,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Administrativo
36,30-16000,Supervisor General de Areas,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios
37,30-16100,Controlador de Documentos,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios
38,30-60010,Auxiliar de Departamento,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Administrativo
39,35-34000,"Coordinador de medio Ambiente, Seguridad e Higiene",PERSONAL,Mandos Medios
40,40-40000,Contralor,CONTABILIDAD,Gerencia
41,40-41000,Auxiliar de tiempos y asistencia,CONTABILIDAD,Administrativo
42,40-43000,Contador General,CONTABILIDAD,Mandos Medios
43,40-43200,Supervisor de Nóminas,CONTABILIDAD,Mandos Medios
44,40-43210,Auxiliar Contable,CONTABILIDAD,Administrativo
45,40-44000,Auditor Interno,CONTABILIDAD,Administrativo
46,45-10000,Director de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Gerencia
47,45-11000,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios
48,45-11200,Inspectora de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Operativo
49,45-15000,Supervisor General de Aseg. de Calidad,INGENIERIA DE CALIDAD,Mandos Medios
50,45-17000,Gerente de Satisfacción al Cliente,INGENIERIA DE CALIDAD,Gerencia
51,50-25130,Comprador,CONTROL DE PRODUCCION,Administrativo
52,50-32200,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
53,50-32220,Supervisor General de Compras,CONTROL DE PRODUCCION,Mandos Medios
54,50-33000,Gerente de Control de Producción,CONTROL DE PRODUCCION,Gerencia
55,50-33100,Supervisor de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios
56,50-33110,Controlador de producción,CONTROL DE PRODUCCION,Mandos Medios
57,50-33200,Supervisor General de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios
58,50-60010,Auxiliar de Departamento,CONTROL DE PRODUCCION,Administrativo
59,55-15000,Supervisor General de Aseg. de Calidad,INGENIERIA DE MANUFACTURA,Mandos Medios
60,55-23200,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo
61,55-23500,Secretaria de Ingeniería de Manufactura,INGENIERIA DE MANUFACTURA,Administrativo
62,55-23600,Supervisor de Ingenieria de Manufactura,INGENIERIA DE MANUFACTURA,Mandos Medios
63,55-23810,Técnico de soporte,INGENIERIA DE MANUFACTURA,Operativo
64,60-24111,Operador de Seguridad,PERSONAL,Operativo
65,60-28000,Gerente de personal,PERSONAL,Gerencia
66,60-28110,Supervisor de Personal,PERSONAL,Mandos Medios
67,60-60010,Auxiliar de Departamento,PERSONAL,Administrativo
68,70-21050,Supervisor General de Recursos Humanos,Recursos Humanos,Mandos Medios
69,70-21100,Supervisor de Recursos Humanos,Recursos Humanos,Mandos Medios
70,70-21110,Entrenamiento,Recursos Humanos,Administrativo
71,70-21120,Auxiliar de Recursos Humanos,Recursos Humanos,Administrativo
72,70-23810,Reclutador,Recursos Humanos,Administrativo
73,80-22000,Gerente de mantenimiento,MANTENIMIENTO,Gerencia
74,80-22110,Supervisor de Maquinado,MANTENIMIENTO,Mandos Medios
75,80-22111,Maquinista,MANTENIMIENTO,Operativo
76,80-22200,Supervisor General de Mantenimiento,MANTENIMIENTO,Mandos Medios
77,80-22205,Coordinador de Activos,MANTENIMIENTO,Mandos Medios
78,80-22210,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios
79,80-22211,Mecánico,MANTENIMIENTO,Operativo
80,80-22220,Ingeniero de Procesos,MANTENIMIENTO,Operativo
81,80-22600,Supervisor de tool crib,MANTENIMIENTO,Mandos Medios
82,80-22610,Capturista de Tool Crib,MANTENIMIENTO,Administrativo
83,80-22620,Encargado de Tool Crib,MANTENIMIENTO,Operativo
84,80-23200,Ingeniero de Manufactura,MANTENIMIENTO,Operativo
85,80-23600,Supervisor de Ingenieria de Manufactura,MANTENIMIENTO,Mandos Medios
86,80-23810,Técnico de soporte,MANTENIMIENTO,Operativo
87,80-24100,Supervisor de Producción,MANTENIMIENTO,Mandos Medios
88,80-24111,Operador de Producción,MANTENIMIENTO,Operativo
89,80-27000,Supervisor General de Producción,MANTENIMIENTO,Mandos Medios
90,90-14000,Supervisor de Ingeniería de Calidad,INGENIERIA DE CALIDAD,Mandos Medios
91,90-14100,Ingeniero de Calidad,INGENIERIA DE CALIDAD,Operativo
92,90-14110,Tecnico de Calidad,INGENIERIA DE CALIDAD,Operativo
93,90-18000,Gerente de Ingenieria de Calidad,INGENIERIA DE CALIDAD,Gerencia
94,90-23200,Ingeniero de Manufactura,INGENIERIA DE CALIDAD,Operativo
95,90-24100,Supervisor de Producción,INGENIERIA DE CALIDAD,Mandos Medios
96,90-26100,Clerk de Copiado,INGENIERIA DE CALIDAD,Administrativo
